Long,Lat,N. of parkings,Day of the month,Day of the week,Hour
7.6035,45.067,1,1,3,0
7.6205,45.067,1,1,3,0
7.629,45.098,1,1,3,0
7.6375,45.079,1,1,3,0
7.646000000000001,45.0415,1,1,3,0
7.646000000000001,45.117,1,1,3,0
7.6545000000000005,45.0415,1,1,3,0
7.663,45.048,1,1,3,0
7.68,44.997,1,1,3,0
7.68,45.048,1,1,3,0
7.68,45.054,2,1,3,0
7.68,45.060500000000005,1,1,3,0
7.6884999999999994,45.085499999999996,1,1,3,0
7.696999999999999,45.060500000000005,1,1,3,0
7.696999999999999,45.067,1,1,3,0
7.629,45.035,1,1,3,1
7.6545000000000005,45.054,2,1,3,1
7.6545000000000005,45.079,1,1,3,1
7.696999999999999,45.098,1,1,3,1
7.696999999999999,45.1045,1,1,3,1
7.6715,45.0415,1,1,3,2
7.68,45.1045,1,1,3,2
7.7055,45.098,1,1,3,2
7.7055,45.111,1,1,3,2
7.6205,45.048,1,1,3,3
7.6205,45.073,2,1,3,3
7.6205,45.079,1,1,3,3
7.629,45.079,1,1,3,3
7.6375,45.073,1,1,3,3
7.646000000000001,45.048,1,1,3,3
7.6545000000000005,45.01,2,1,3,3
7.663,44.997,1,1,3,3
7.663,45.0415,2,1,3,3
7.663,45.1045,1,1,3,3
7.6715,45.0415,1,1,3,3
7.6715,45.079,1,1,3,3
7.68,45.098,1,1,3,3
7.6035,45.098,1,1,3,4
7.612,45.067,1,1,3,4
7.612,45.073,1,1,3,4
7.612,45.117,1,1,3,4
7.6205,45.060500000000005,1,1,3,4
7.6205,45.079,1,1,3,4
7.6205,45.117,2,1,3,4
7.629,45.0035,1,1,3,4
7.629,45.016,1,1,3,4
7.629,45.060500000000005,1,1,3,4
7.6375,44.997,1,1,3,4
7.6375,45.067,1,1,3,4
7.646000000000001,45.1045,1,1,3,4
7.646000000000001,45.117,1,1,3,4
7.6545000000000005,45.0035,1,1,3,4
7.6545000000000005,45.0415,1,1,3,4
7.6545000000000005,45.054,2,1,3,4
7.6545000000000005,45.060500000000005,1,1,3,4
7.6545000000000005,45.092,1,1,3,4
7.6545000000000005,45.098,1,1,3,4
