id,long,lat,num_multe,num_park,day,hour
0,8,11,1001.0,0.0,2,1
1,8,13,940.0,0.0,2,1
2,7,12,885.0,0.0,2,1
3,7,13,778.0,0.0,2,1
4,8,12,735.0,0.0,2,1
5,8,10,726.0,0.0,2,1
6,9,11,691.0,0.0,2,2
7,9,9,671.0,10173.0,2,2
8,9,9,632.0,15644.0,2,1
9,9,11,596.0,0.0,2,1
10,9,13,588.0,0.0,2,1
11,8,7,586.0,0.0,2,1
12,7,9,552.0,0.0,2,1
13,7,11,536.0,0.0,2,1
14,9,10,535.0,0.0,2,3
15,9,10,524.0,0.0,2,1
16,7,8,500.0,0.0,2,1
17,7,10,492.0,0.0,2,1
18,8,8,459.0,0.0,2,1
19,10,11,421.0,0.0,2,1
20,11,11,415.0,0.0,2,1
21,7,9,413.0,0.0,2,2
22,9,11,408.0,0.0,2,3
23,6,13,407.0,0.0,2,1
24,10,10,385.0,0.0,2,1
25,9,10,383.0,0.0,2,2
26,9,8,365.0,11571.0,2,1
27,10,13,352.0,0.0,2,1
28,11,11,345.0,0.0,1,3
29,8,9,338.0,0.0,2,1
30,6,12,322.0,0.0,2,1
31,6,14,319.0,0.0,2,1
32,11,12,310.0,0.0,2,1
33,8,8,308.0,0.0,2,2
34,6,9,288.0,0.0,2,1
35,11,10,280.0,0.0,2,1
36,10,11,266.0,0.0,2,3
37,8,7,260.0,0.0,2,2
38,10,11,258.0,0.0,2,2
39,8,11,256.0,0.0,2,2
40,8,12,253.0,0.0,2,2
41,12,11,253.0,0.0,2,1
42,9,8,247.0,6755.0,2,2
43,8,6,229.0,0.0,2,1
44,6,10,228.0,0.0,2,1
45,9,12,224.0,0.0,2,1
46,10,10,222.0,0.0,2,2
47,6,13,215.0,0.0,2,2
48,8,10,214.0,0.0,2,2
49,7,14,207.0,0.0,2,1
50,12,12,207.0,0.0,2,1
51,7,13,202.0,0.0,2,2
52,7,10,196.0,0.0,2,2
53,7,12,195.0,0.0,2,2
54,11,11,189.0,0.0,2,2
55,9,12,184.0,0.0,2,2
56,7,8,182.0,0.0,2,2
57,6,9,178.0,0.0,2,2
58,8,9,175.0,0.0,2,2
59,8,11,170.0,0.0,1,1
60,9,11,165.0,0.0,1,2
61,9,11,164.0,0.0,1,1
62,8,13,153.0,0.0,2,2
63,9,13,148.0,0.0,1,1
64,10,11,144.0,0.0,1,3
65,11,9,144.0,0.0,2,1
