Long,Lat,N. of parkings,Day of the month,Day of the week,Hour
7.641500000000001,45.0255,7,1,3,0
7.641500000000001,45.088499999999996,6,1,3,0
7.727,45.088499999999996,3,1,3,0
7.641500000000001,45.0255,3,1,3,1
7.641500000000001,45.088499999999996,1,1,3,1
7.727,45.088499999999996,2,1,3,1
7.641500000000001,45.0255,1,1,3,2
7.641500000000001,45.088499999999996,1,1,3,2
7.727,45.088499999999996,2,1,3,2
7.641500000000001,45.0255,8,1,3,3
7.641500000000001,45.088499999999996,8,1,3,3
7.641500000000001,45.0255,10,1,3,4
7.641500000000001,45.088499999999996,23,1,3,4
7.727,45.0255,5,1,3,4
7.727,45.088499999999996,16,1,3,4
7.641500000000001,45.0255,61,1,3,5
7.641500000000001,45.088499999999996,72,1,3,5
7.727,45.0255,17,1,3,5
7.727,45.088499999999996,38,1,3,5
7.641500000000001,45.0255,117,1,3,6
7.641500000000001,45.088499999999996,149,1,3,6
7.727,45.0255,27,1,3,6
7.727,45.088499999999996,75,1,3,6
7.641500000000001,45.0255,100,1,3,7
7.641500000000001,45.088499999999996,108,1,3,7
7.727,45.0255,20,1,3,7
7.727,45.088499999999996,61,1,3,7
7.641500000000001,45.0255,129,1,3,8
7.641500000000001,45.088499999999996,122,1,3,8
7.727,45.0255,12,1,3,8
7.727,45.088499999999996,64,1,3,8
7.641500000000001,45.0255,118,1,3,9
7.641500000000001,45.088499999999996,145,1,3,9
7.727,45.0255,18,1,3,9
7.727,45.088499999999996,66,1,3,9
7.641500000000001,45.0255,102,1,3,10
7.641500000000001,45.088499999999996,122,1,3,10
7.727,45.0255,10,1,3,10
7.727,45.088499999999996,53,1,3,10
7.641500000000001,45.0255,84,1,3,11
7.641500000000001,45.088499999999996,127,1,3,11
7.727,45.0255,16,1,3,11
7.727,45.088499999999996,72,1,3,11
7.641500000000001,45.0255,85,1,3,12
7.641500000000001,45.088499999999996,95,1,3,12
7.727,45.0255,16,1,3,12
7.727,45.088499999999996,52,1,3,12
7.641500000000001,45.0255,91,1,3,13
7.641500000000001,45.088499999999996,130,1,3,13
7.727,45.0255,15,1,3,13
7.727,45.088499999999996,58,1,3,13
7.641500000000001,45.0255,120,1,3,14
7.641500000000001,45.088499999999996,192,1,3,14
7.727,45.0255,24,1,3,14
7.727,45.088499999999996,80,1,3,14
7.641500000000001,45.0255,130,1,3,15
7.641500000000001,45.088499999999996,180,1,3,15
7.727,45.0255,21,1,3,15
7.727,45.088499999999996,84,1,3,15
7.641500000000001,45.0255,151,1,3,16
7.641500000000001,45.088499999999996,226,1,3,16
7.727,45.0255,24,1,3,16
7.727,45.088499999999996,94,1,3,16
7.641500000000001,45.0255,103,1,3,17
7.641500000000001,45.088499999999996,135,1,3,17
7.727,45.0255,13,1,3,17
7.727,45.088499999999996,90,1,3,17
7.641500000000001,45.0255,80,1,3,18
7.641500000000001,45.088499999999996,77,1,3,18
7.727,45.0255,7,1,3,18
7.727,45.088499999999996,38,1,3,18
7.641500000000001,45.0255,43,1,3,19
7.641500000000001,45.088499999999996,65,1,3,19
7.727,45.0255,3,1,3,19
7.727,45.088499999999996,29,1,3,19
7.641500000000001,45.0255,44,1,3,20
7.641500000000001,45.088499999999996,42,1,3,20
7.727,45.0255,4,1,3,20
7.727,45.088499999999996,29,1,3,20
7.641500000000001,45.0255,28,1,3,21
7.641500000000001,45.088499999999996,42,1,3,21
7.727,45.0255,2,1,3,21
7.727,45.088499999999996,21,1,3,21
7.641500000000001,45.0255,30,1,3,22
7.641500000000001,45.088499999999996,23,1,3,22
7.727,45.0255,2,1,3,22
7.727,45.088499999999996,14,1,3,22
7.641500000000001,45.0255,17,1,3,23
7.641500000000001,45.088499999999996,15,1,3,23
7.727,45.088499999999996,17,1,3,23
7.641500000000001,45.0255,7,2,4,0
