lng,lat,pippo
7.601893,45.074883,4018
7.599359,45.074017,932
7.599435,45.074249,7944
7.599673,45.073936,368
7.599725,45.073975,1294
7.599147,45.073936,979
7.599555,45.073986,682
7.601011,45.074181,2970
7.600467,45.074753,55
7.599575,45.073494,3778
7.600245,45.073608,9030
7.60219,45.074886,822
7.618178,45.086815,20404
7.61718,45.085007,779
7.617998,45.086796,889
7.619002,45.086441,805
7.617943,45.086166,5417
7.617077,45.085438,117
7.616679,45.086941,792
7.619355,45.086117,1440
7.618114,45.085655,865
7.619415,45.08585,858
7.617097,45.085522,759
7.617211,45.086346,1047
7.622357,45.081253,170
7.620827,45.081573,1289
7.622117,45.081219,885
7.620904,45.081802,6873
7.620753,45.079998,774
7.622136,45.081539,524
7.622897,45.08173,679
7.622692,45.081612,12586
7.621515,45.081009,664
7.61987,45.082115,961
7.620234,45.080288,288
7.621982,45.080223,759
7.624317,45.058769,1185
7.623683,45.059544,1179
7.624277,45.059502,2710
7.625643,45.059605,770
7.624387,45.058388,175
7.625055,45.05957,802
7.623573,45.05843,190
7.624855,45.059265,43076
7.625123,45.059219,657
7.624471,45.05806,951
7.624136,45.057396,4264
7.625305,45.081429,521
7.625842,45.082119,779
7.626002,45.079998,3012
7.62563,45.081001,3922
7.625219,45.082321,581
7.624649,45.081203,5921
7.626402,45.080635,687
7.625717,45.081963,2516
7.623631,45.082413,931
7.62571,45.081333,714
7.626146,45.081707,2266
7.626208,45.08049,894
7.624568,45.081322,782
7.623197,45.081005,712
7.626275,45.081116,3150
7.62498,45.08017,15795
7.625598,45.080482,3118
7.629305,45.063965,1146
7.628913,45.063644,817
7.629396,45.064121,845
7.629377,45.063854,811
7.629813,45.063808,2616
7.627965,45.063286,843
7.628739,45.063862,3759
7.629614,45.063759,724
7.626583,45.06382,2594
7.627939,45.062695,708
7.627816,45.064243,3501
7.628159,45.064617,858
7.628637,45.064587,660
7.629456,45.062481,1671
7.627776,45.063145,8725
7.626837,45.073421,4167
7.628898,45.074062,1584
7.627848,45.073555,2724
7.628663,45.072502,2777
7.629085,45.074265,295
7.628169,45.072678,793
7.629614,45.072506,712
7.629327,45.073147,2806
7.628357,45.073967,4028
7.629636,45.073624,6607
7.628072,45.074741,640
7.629263,45.073372,3119
7.63275,45.064465,833
7.632784,45.06459,709
7.631374,45.063946,819
7.632279,45.063999,1387
7.630303,45.064396,651
7.63259,45.062737,782
7.630221,45.064655,752
7.631619,45.062702,2310
7.630507,45.063751,91
7.632354,45.062859,942
7.630559,45.063622,155
7.63133,45.066803,157
7.631199,45.06654,5458
7.63178,45.06562,2460
7.630893,45.065445,76
7.631893,45.067177,864
7.630969,45.065907,10025
7.630401,45.065491,536
7.631919,45.066349,864
7.632085,45.06657,8227
7.631264,45.066761,647
7.632681,45.065044,3715
7.63111,45.06966,23780
7.632898,45.069454,1683
7.633112,45.069592,8471
7.630322,45.067745,867
7.632071,45.068256,908
