lng,lat,pippo
7.601652,45.074905,1423
7.599827,45.075081,2597
7.601618,45.076916,2204
7.601659,45.075375,4471
7.601652,45.075344,1902
7.601329,45.077206,649
7.599535,45.075577,2249
7.600632,45.075504,3812
7.600492,45.075001,4653
7.602227,45.07494,994
7.599269,45.075737,2257
7.6118,45.058086,113
7.612175,45.058041,191
7.612369,45.05785,29
7.611226,45.057575,27
7.611651,45.057526,28
7.612666,45.057289,53
7.611814,45.057926,95
7.612649,45.058514,82
7.612623,45.058216,163
7.611353,45.057533,33
7.611979,45.058247,150
7.611794,45.058205,133
7.612606,45.057251,167
7.614515,45.057167,586
7.614552,45.057209,147
7.61381,45.056633,597
7.61514,45.055096,85
7.615049,45.05687,69
7.614096,45.057026,131
7.613414,45.057148,158
7.613717,45.055058,542
7.613669,45.055233,428
7.613835,45.057163,240
7.614392,45.054821,374
7.613779,45.056793,1012
7.614164,45.057888,213
7.613654,45.057766,486
7.613816,45.057613,24
7.613372,45.058071,967
7.612958,45.057564,207
7.613286,45.057774,157
7.613753,45.05809,60
7.613774,45.058075,59
7.613168,45.057449,65
7.612769,45.057682,555
7.613974,45.058079,511
7.613835,45.057446,118
7.613021,45.057564,56
7.617752,45.03878,4158
7.619507,45.038918,9552
7.618488,45.03788,271
7.617261,45.038101,16789
7.618409,45.037998,132
7.617491,45.039455,512
7.619412,45.038212,1398
7.618106,45.039043,10145
7.619354,45.037899,4097
7.616782,45.039455,4321
7.619351,45.038097,12804
7.619063,45.037289,2318
7.618178,45.086815,20404
7.618854,45.086735,6686
7.618192,45.08667,23
7.619401,45.085331,2247
7.617943,45.086166,5417
7.616717,45.087044,953
7.618983,45.085274,1057
7.619505,45.086296,2962
7.619216,45.086773,6565
7.616933,45.085388,907
7.617022,45.085846,335
7.620549,45.021671,195
7.621491,45.021656,812
7.622252,45.019802,4245
7.621655,45.021763,911
7.622107,45.02037,2701
7.622213,45.021053,3125
7.620849,45.020859,3849
7.621266,45.021542,1723
7.621698,45.021851,250
7.62088,45.021526,2732
7.621542,45.019821,373
7.620861,45.021645,2541
7.62919,45.063759,3719
7.627828,45.06424,1064
7.629098,45.063564,3338
7.628152,45.06443,89
7.627471,45.064362,1468
7.628155,45.063499,1710
7.629478,45.064297,2370
7.627976,45.062717,2069
7.629118,45.064724,4878
7.627776,45.063145,8725
7.629232,45.062466,3475
7.63121,45.066357,40
7.631888,45.066883,2538
7.63019,45.066547,74
7.630515,45.066723,112
7.630912,45.065819,4387
7.630019,45.066006,77
7.631375,45.065426,1211
7.632085,45.06657,8227
7.631899,45.066845,6057
7.631028,45.065903,81
7.630486,45.066425,46
7.629893,45.064949,71
7.63132,45.067059,3477
7.631155,45.066669,2513
7.632376,45.067032,2857
7.631448,45.066055,34
7.632425,45.078602,4291
7.632741,45.077744,1346
7.630035,45.079155,3729
7.630408,45.078243,6097
7.631018,45.078159,3754
7.630196,45.079899,1496
7.631629,45.079884,4133
7.631601,45.077515,3771
7.630302,45.078766,925
7.632044,45.078545,2235
7.631464,45.079712,2439
7.630657,45.077595,3975
7.63147,45.078026,16726
7.634283,45.042606,1265
7.635602,45.044376,841
7.635372,45.044514,5240
7.633428,45.042484,2799
7.633379,45.04287,5644
7.634575,45.043495,4292
7.634415,45.044331,920
7.635064,45.04269,6985
7.635464,45.044395,1777
7.635248,45.043209,1252
7.634512,45.042606,872
7.635444,45.043453,1335
7.63381,45.068943,2448
7.636567,45.069069,1413
7.63378,45.068218,9431
7.635448,45.069065,1322
7.633292,45.069805,880
7.636621,45.068031,2370
7.633657,45.069279,488
7.635521,45.06921,221
7.636352,45.069225,2903
7.63339,45.069809,1122
7.633773,45.068996,21935
7.635245,45.069424,7126
7.635719,45.067333,460
7.633793,45.07803,350
7.634345,45.077503,1211
7.63499,45.078773,246
7.633828,45.078266,658
7.633308,45.079407,73
7.636294,45.079098,919
7.633714,45.078102,291
7.636399,45.078518,1624
7.635786,45.078434,948
7.633969,45.078941,2697
7.634777,45.078831,1135
7.636333,45.077515,1345
7.634982,45.07769,624
7.635304,45.116585,27390
7.635362,45.115326,5551
7.635303,45.116497,39061
7.635469,45.11631,39061
7.635365,45.116596,39061
7.635136,45.115822,5545
7.63531,45.116619,39061
7.635322,45.115379,494
7.635243,45.116535,43064
7.63552,45.116467,12742
7.634587,45.116138,3006
7.635132,45.115795,5546
7.635265,45.116596,12030
7.635167,45.115852,28798
7.635201,45.115765,3994
7.635586,45.116207,18976
7.635678,45.115711,21315
7.63537,45.116135,16787
7.63523,45.116013,21717
7.635249,45.116119,17800
7.63529,45.116016,21887
7.635296,45.116116,16909
7.635369,45.11618,11997
7.635153,45.115795,3995
7.635399,45.115364,492
7.634917,45.115753,514
7.63519,45.115364,502
7.635212,45.115841,5655
7.639977,45.038403,1640
7.637471,45.03828,173
7.638625,45.037148,780
7.639799,45.038002,318
7.637369,45.038609,3705
7.639392,45.038944,6249
7.63982,45.038475,866
7.638894,45.037395,2772
7.639046,45.038918,11752
7.638096,45.037445,974
7.637977,45.037754,8588
7.639575,45.039799,1307
7.637076,45.040543,207
7.637464,45.039867,3709
7.639885,45.041164,3650
7.637239,45.03986,2762
7.638375,45.042042,109
7.6388,45.041515,1079
7.637582,45.040165,928
7.639062,45.04129,2489
7.639269,45.041283,4444
7.638072,45.041691,26
7.636909,45.066277,3763
7.636796,45.066101,3667
7.637198,45.066837,342
7.639622,45.065815,2470
7.636834,45.067093,1341
7.638546,45.065601,2799
7.63796,45.065178,1399
7.638103,45.065762,211
7.636687,45.065926,1078
7.638985,45.066971,58
7.639057,45.066471,1693
7.636906,45.065796,869
7.640026,45.065567,670
7.639493,45.070992,3357
7.638798,45.071663,1570
7.636724,45.070835,1208
7.63668,45.07196,3045
7.636745,45.071415,3651
7.639207,45.07172,3139
7.636676,45.07188,1632
7.636737,45.06992,54
