lng,lat,pippo
7.635304,45.116585,27390
7.635303,45.116497,39061
7.635469,45.11631,39061
7.635365,45.116596,39061
7.6351,45.115807,1408
7.635171,45.115841,2753
7.635064,45.115387,1758
7.63531,45.116619,39061
7.635243,45.116535,43064
7.635346,45.115635,351
7.636174,45.115467,374
7.63552,45.116467,12742
7.635962,45.115654,1054
7.635127,45.115837,1409
7.635263,45.116463,4425
7.635167,45.115852,28798
7.635162,45.11581,2754
7.634882,45.11618,2959
7.635512,45.116024,5293
7.635586,45.116207,18976
7.635242,45.116142,14479
7.635196,45.116085,14716
7.635088,45.11602,13196
7.635678,45.115711,21315
7.63537,45.116135,16787
7.635164,45.116196,12197
7.63523,45.116013,21717
7.635249,45.116119,17800
7.63529,45.116016,21887
7.635296,45.116116,16909
7.635369,45.11618,11997
7.635178,45.115482,1758
7.635364,45.116543,20900
7.63528,45.115627,12967
7.635162,45.115982,2754
7.635215,45.115837,2754
7.640074,45.022842,924
7.642395,45.023552,819
7.642478,45.024261,874
7.64242,45.022179,887
7.642014,45.02422,17200
7.642935,45.022327,194
7.640575,45.024303,7129
7.64289,45.023876,822
7.641896,45.023895,501
7.642411,45.023464,834
7.641922,45.024338,850
7.641092,45.022419,4073
7.640391,45.024181,19665
7.640534,45.024406,704
7.642141,45.023491,799
7.642689,45.022179,765
7.642112,45.023823,2584
7.642303,45.024029,759
7.642483,45.024109,1149
7.641754,45.02272,6769
7.640443,45.024387,694
7.660232,45.054413,907
7.659503,45.054695,9560
7.65982,45.054104,1322
7.658505,45.052425,781
7.659518,45.054234,1456
7.65736,45.053913,718
7.657293,45.052807,937
7.659098,45.053104,137
7.658358,45.054512,1852
7.659728,45.052231,246
7.659263,45.053364,8404
7.658605,45.05307,1680
7.659645,45.052723,6360
7.660437,45.052662,1213
7.658244,45.052486,782
7.659573,45.052986,881
7.660246,45.05434,5793
7.658515,45.054558,1376
7.659301,45.053383,1004
7.657244,45.053829,820
7.659025,45.052383,1141
7.659609,45.052296,545
7.69495,45.068817,157
7.696377,45.068092,11363
7.697845,45.067959,688
7.69682,45.069328,985
7.695428,45.067352,1166
7.69519,45.068882,62
7.695642,45.067703,4184
7.697558,45.068787,5295
7.697067,45.067574,149
7.696581,45.068172,677
7.695173,45.069508,1043
7.694733,45.069263,2301
7.696756,45.069416,845
7.697616,45.069099,606
7.697624,45.06847,812
7.697819,45.069439,4196
7.697786,45.067383,240
7.695354,45.069641,1371
7.697855,45.069481,7916
7.697919,45.067444,3119
7.694944,45.069302,826
7.69764,45.067352,1036
7.696373,45.067371,775
