lng,lat,pippo
7.635303,45.116497,39061
7.635469,45.11631,39061
7.6351,45.115807,1408
7.635171,45.115841,2753
7.635064,45.115387,1758
7.635346,45.115635,351
7.636174,45.115467,374
7.63552,45.116467,12742
7.635962,45.115654,1054
7.635127,45.115837,1409
7.635263,45.116463,4425
7.635167,45.115852,28798
7.635162,45.11581,2754
7.635512,45.116024,5293
7.635586,45.116207,18976
7.635242,45.116142,14479
7.635196,45.116085,14716
7.635088,45.11602,13196
7.635678,45.115711,21315
7.63537,45.116135,16787
7.635164,45.116196,12197
7.63523,45.116013,21717
7.635249,45.116119,17800
7.63529,45.116016,21887
7.635296,45.116116,16909
7.635369,45.11618,11997
7.635178,45.115482,1758
7.63528,45.115627,12967
7.635162,45.115982,2754
7.635215,45.115837,2754
