lng,lat,pippo
7.635178,45.115265,546
7.635303,45.116497,39061
7.635469,45.11631,39061
7.635024,45.116165,208
7.635611,45.115921,601
7.6351,45.115807,1408
7.635171,45.115841,2753
7.635332,45.115437,244
7.635013,45.115829,283
7.636325,45.115566,575
7.63652,45.115574,562
7.635315,45.115425,245
7.635146,45.115284,627
7.635508,45.11591,302
7.635146,45.115284,293
7.635384,45.11552,505
7.63529,45.115616,509
7.635394,45.115768,575
7.63653,45.115776,555
7.635013,45.115944,489
7.63552,45.116467,12742
7.635245,45.115337,220
7.635127,45.115837,1409
7.635263,45.116463,4425
7.635167,45.115852,28798
7.635162,45.11581,2754
7.635512,45.116024,5293
7.635586,45.116207,18976
7.635242,45.116142,14479
7.635196,45.116085,14716
7.635088,45.11602,13196
7.635678,45.115711,21315
7.63537,45.116135,16787
7.635164,45.116196,12197
7.63523,45.116013,21717
7.635249,45.116119,17800
7.63529,45.116016,21887
7.635296,45.116116,16909
7.635369,45.11618,11997
7.635326,45.115337,206
7.635502,45.115887,301
7.635526,45.115776,313
7.635485,45.115704,254
7.635108,45.115471,583
7.635132,45.115421,291
7.635462,45.115665,310
7.635261,45.11549,503
7.636518,45.115574,561
7.635056,45.115517,507
7.635343,45.115276,264
7.635768,45.115509,563
7.635062,45.115765,554
7.635061,45.115597,169
7.63528,45.115627,12967
7.636434,45.115318,215
7.635277,45.115864,257
7.635162,45.115982,2754
7.635215,45.115837,2754
